state_name,state_code,prio_year,patent_count,gdp,pop,fuel,avg_temp,lpop,lgdp,lfuel,lgdp_sq,ltemp,ihs_patent_count,log_patent_count
Arkansas,AR,2016,2.99166666666666,112798.1,2992,39.19,62.8,8.003697339094368,11.633354773932604,3.66842161221154,135.3349432961805,4.139955073474153,1.8158079286157078,1.3842088546288676
Arkansas,AR,2017,0.75,113850.2,3004,48.5,62.5,8.007700012884026,11.642638828187751,3.8815637979434374,135.55103888362504,4.135166556742356,0.6931471805599453,0.5596157879354227
Arkansas,AR,2018,3.86666666666666,115885.2,3012,61.04,61.2,8.010359588919783,11.660355324884073,4.111529386976201,135.96388630255234,4.11414718951828,2.0618566905246123,1.5824092400461798
Arkansas,AR,2019,0,117126.2,3021,55.85,61.2,8.013343181386672,11.671007264952486,4.02266952551521,136.2124105785737,4.11414718951828,-0,0
Arkansas,AR,2020,0.333333333333333,117268.2,3012,37.31,61.1,8.010359588919783,11.672218898143143,3.6192613872330663,136.24069400616992,4.11251186617755,0.3274501502372581,0.2876820724517807
California,CA,2000,63.2103174603175,1696172.4,33988,24.16,58.8,10.433762800123432,14.343884741111275,3.184698373066614,205.74702946628486,4.074141854904581,4.83967728317052,4.162163905888385
California,CA,2001,89.8320818070818,1692324.1,34479,19.03,59.1,10.448105722036868,14.341613349268599,2.946016681308058,205.68187345991927,4.079230924412053,5.191120328748626,4.5090125470696085
California,CA,2002,84.6419191919192,1722522.4,34872,20.39,58.8,10.459439493918229,14.359300286139531,3.015044584586364,206.18950470752682,4.074141854904581,5.131611716815388,4.450174873464768
California,CA,2003,86.798088023088,1789998.5,35253,24.97,59.4,10.47030591100205,14.39772533982776,3.217675104291682,207.29449496111837,4.084294226368599,5.1567649562572955,4.475039723901545
California,CA,2004,117.702380952381,1850904.5,35575,33.69,58.9,10.479398422958052,14.431184996491515,3.5172010574184616,208.25910040296182,4.075841090657541,5.461324468649947,4.77661935998548
California,CA,2005,145.253174603175,1926842.1,35828,47.03,58.6,10.486484989595086,14.471393003198484,3.8507856959569566,209.42121545302203,4.070734696582967,5.671637281166705,4.985339192564755
California,CA,2006,237.573937173937,2002437.4,36021,57.03,58.6,10.491857380698828,14.509875696512173,4.043577445168448,210.53649272823463,4.070734696582967,6.163630499348189,5.474679271400539
California,CA,2007,269.713838938839,2041192.2,36250,64.24,58.9,10.49819466028282,14.529044606883053,4.162626069638506,211.09313718879753,4.075841090657541,6.290512158350326,5.6010623181020005
California,CA,2008,319.498881673882,2061638.8,36604,90.16,58.9,10.50791280303527,14.539011758476914,4.501585869731521,211.38286291312997,4.075841090657541,6.459903403194879,5.769878787037576
California,CA,2009,355.424762737263,1995439.7,36961,55.23,58.8,10.517618581666662,14.506374985023875,4.011506283913096,210.43491520612642,4.074141854904581,6.566462748523807,5.876123173366135
California,CA,2010,324.520773208273,2036015,37320,73.29,57.7,10.52728465496128,14.526505024012446,4.294424173937759,211.01934821265883,4.055257173514054,6.4754991045563095,5.785426278992509
California,CA,2011,313.825432900433,2063827.5,37636,100.39,57.4,10.535716318126656,14.540072826509562,4.609062600703435,211.41371780020174,4.050044303325521,6.44198660410768,5.752018303941971
California,CA,2012,299.806201151789,2113096.4,37945,101.33,59.5,10.543893021838013,14.563664917895435,4.618382517460226,212.10033584073827,4.085976312551584,6.396286231668541,5.706466207394401
California,CA,2013,292.553569529885,2179229,38254,99.08,59.3,10.55200340895048,14.594481702484615,4.595927604621159,212.99889616415823,4.08260930600368,6.3717978951264005,5.6820601423064225
California,CA,2014,230.598838661339,2256054.7,38587,89.3,61.4,10.560670711162487,14.629128137760047,4.492001487882454,214.01139007100272,4.117409835153096,6.133831453572917,5.445006731270634
California,CA,2015,229.266912254412,2357452.9,38904,43.58,60.8,10.568852352083622,14.673092314499078,3.774598329516474,215.29963806981192,4.107589788972121,6.128038817212321,5.439239124140087
California,CA,2016,227.721223221223,2427894.6,39149,35.68,60.1,10.575130158308562,14.702535020005108,3.5745903077118086,216.1645360144766,4.096009841541162,6.121274177149663,5.43250389611633
California,CA,2017,200.223088023088,2538204,39338,47.44,60.3,10.579946251809838,14.746967302276902,3.85946575468947,217.47304461442408,4.09933210373314,5.992585601604283,5.3044141832479275
California,CA,2018,200.790559440559,2644061.2,39437,65.03,60.1,10.582459740914768,14.787826626433185,4.174848701881061,218.67981633344627,4.096009841541162,5.9954157533578245,5.3072303250638555
California,CA,2019,174.926319921908,2729225.8,39438,59.94,58.4,10.582485097491631,14.819528537198376,4.0933440618885175,219.61842606483705,4.067315889834181,5.857520206851656,5.170065270577958
California,CA,2020,41.4903540903541,2667220.9,39500,36.65,60.5,10.584055950889214,14.796547626880779,3.6014134283326604,218.9378216745512,4.102643365036796,4.418753344048211,3.7492770875905634
Colorado,CO,2000,9.83333333333333,231589.8,4327,27.6,47,8.372629740224884,12.352722982260346,3.3178157727231046,152.58976507646292,3.8501476017100584,2.981500649470433,2.382627800667582
Colorado,CO,2001,15.1833333333333,234979.4,4426,22.73,46.8,8.395251520610994,12.367253129709503,3.123685637864452,152.9489499743095,3.845883202923601,3.414428196387004,2.783981906069222
